        1000  -3.0000000    
  0.58952093      -3.9433570       7.2278395    
  0.59794712      -3.9183493       7.3039751    
  0.60637331      -3.8933461       7.3816023    
  0.61479926      -3.8683410       7.4607487    
  0.62322545      -3.8433261       7.5414467    
  0.63165140      -3.8182960       7.6237240    
  0.64007759      -3.7932425       7.7076159    
  0.64850378      -3.7681608       7.7931509    
  0.65692973      -3.7430460       7.8803596    
  0.66535592      -3.7178907       7.9692783    
  0.67378211      -3.6926904       8.0599403    
  0.68220806      -3.6663558       8.1523752    
  0.69063425      -3.6397698       8.2466240    
  0.69906044      -3.6131823       8.3427191    
  0.70748639      -3.5865860       8.4406939    
  0.71591258      -3.5599716       8.5405912    
  0.72433877      -3.5333333       8.6424456    
  0.73276472      -3.5066659       8.7462921    
  0.74119091      -3.4799609       8.8521767    
  0.74961710      -3.4532125       8.9601355    
  0.75804305      -3.4264162       9.0702057    
  0.76646924      -3.3995643       9.1824360    
  0.77489519      -3.3726528       9.2968616    
  0.78332138      -3.3456750       9.4135323    
  0.79174757      -3.3186262       9.5324888    
  0.80017352      -3.2915020       9.6537724    
  0.80859971      -3.2642963       9.7774353    
  0.81702590      -3.2370048       9.9035215    
  0.82545185      -3.2096231       10.032074    
  0.83387804      -3.1821456       10.163149    
  0.84230423      -3.1545682       10.296791    
  0.85073018      -3.1268871       10.433048    
  0.85915637      -3.0990965       10.571979    
  0.86758256      -3.0711925       10.713631    
  0.87600851      -3.0431716       10.858053    
  0.88443470      -3.0150278       11.005310    
  0.89286089      -2.9862528       11.155452    
  0.90128684      -2.9572654       11.308531    
  0.90971303      -2.9281700       11.464614    
  0.91813922      -2.8989630       11.623754    
  0.92656517      -2.8696392       11.786007    
  0.93499136      -2.8401918       11.951444    
  0.94341731      -2.8106170       12.120117    
  0.95184350      -2.7809076       12.292099    
  0.96026969      -2.7510595       12.467451    
  0.96869564      -2.7210681       12.646234    
  0.97712183      -2.6909261       12.828524    
  0.98554802      -2.6606293       13.014384    
  0.99397397      -2.6301718       13.203881    
   1.0024004      -2.5995469       13.397101    
   1.0108261      -2.5687525       13.594091    
   1.0192523      -2.5377784       13.794950    
   1.0276785      -2.5066204       13.999745    
   1.0361047      -2.4752724       14.208552    
   1.0445309      -2.4437280       14.421451    
   1.0529566      -2.4119823       14.638507    
   1.0613828      -2.3800254       14.859828    
   1.0698090      -2.3478518       15.085486    
   1.0782351      -2.3154542       15.315564    
   1.0866613      -2.2828252       15.550150    
   1.0950875      -2.2499568       15.789332    
   1.1035132      -2.2168431       16.033186    
   1.1119394      -2.1834712       16.281830    
   1.1203656      -2.1498337       16.535347    
   1.1287918      -2.1159210       16.793831    
   1.1372180      -2.0817237       17.057377    
   1.1456442      -2.0472305       17.326088    
   1.1540699      -2.0124323       17.600048    
   1.1624961      -1.9773126       17.879391    
   1.1709223      -1.9418608       18.164206    
   1.1793485      -1.9060633       18.454599    
   1.1877747      -1.8699049       18.750685    
   1.1962004      -1.8333722       19.052551    
   1.2046266      -1.7964441       19.360350    
   1.2130527      -1.7591035       19.674179    
   1.2046266      -1.7219455       19.988003    
   1.1962004      -1.6857142       20.295801    
   1.1877747      -1.6504253       20.597668    
   1.1793485      -1.6160272       20.893753    
   1.1709223      -1.5824786       21.184147    
   1.1624961      -1.5497377       21.468964    
   1.1540699      -1.5177672       21.748306    
   1.1456442      -1.4865334       22.022264    
   1.1372180      -1.4559991       22.290976    
   1.1287918      -1.4261354       22.554523    
   1.1203656      -1.3969134       22.813005    
   1.1119394      -1.3683052       23.066523    
   1.1035132      -1.3402860       23.315166    
   1.0950875      -1.3128326       23.559021    
   1.0866613      -1.2859193       23.798203    
   1.0782351      -1.2595260       24.032789    
   1.0698090      -1.2336330       24.262867    
   1.0613828      -1.2082201       24.488525    
   1.0529566      -1.1832702       24.709846    
   1.0445309      -1.1587670       24.926903    
   1.0361047      -1.1346915       25.139801    
   1.0276785      -1.1110294       25.348608    
   1.0192523      -1.0877662       25.553402    
   1.0108261      -1.0648876       25.754261    
   1.0024004      -1.0423816       25.951252    
  0.99397397      -1.0202328       26.144472    
  0.98554802     -0.99843156       26.333969    
  0.97712183     -0.97696525       26.519829    
  0.96869564     -0.95582247       26.702120    
  0.96026969     -0.93499410       26.880901    
  0.95184350     -0.91446805       27.056255    
  0.94341731     -0.89423585       27.228237    
  0.93499136     -0.87428910       27.396910    
  0.92656517     -0.85461682       27.562347    
  0.91813922     -0.83521295       27.724600    
  0.90971303     -0.81606710       27.883739    
  0.90128684     -0.79717255       28.039822    
  0.89286089     -0.77852207       28.192902    
  0.88443470     -0.76010805       28.343042    
  0.87600851     -0.74192315       28.490299    
  0.86758256     -0.72396207       28.634724    
  0.85915637     -0.70621687       28.776375    
  0.85073018     -0.68868196       28.915306    
  0.84230423     -0.67135209       29.051563    
  0.83387804     -0.65422082       29.185204    
  0.82545185     -0.63728237       29.316280    
  0.81702590     -0.62053257       29.444832    
  0.80859971     -0.60396522       29.570917    
  0.80017352     -0.58757567       29.694580    
  0.79174757     -0.57135952       29.815865    
  0.78332138     -0.55531180       29.934820    
  0.77489519     -0.53942800       30.051491    
  0.76646924     -0.52370435       30.165916    
  0.75804305     -0.50813562       30.278149    
  0.74961710     -0.49271959       30.388218    
  0.74119091     -0.47745052       30.496178    
  0.73276472     -0.46232557       30.602062    
  0.72433877     -0.44734138       30.705908    
  0.71591258     -0.43249351       30.807762    
  0.70748639     -0.41777942       30.907660    
  0.69906044     -0.40319592       31.005634    
  0.69063425     -0.38873842       31.101730    
  0.68220806     -0.37440524       31.195978    
  0.67378211     -0.36019301       31.288414    
  0.66535592     -0.34609869       31.379074    
  0.65692973     -0.33211929       31.467995    
  0.64850378     -0.31825274       31.555202    
  0.64007759     -0.30449557       31.640738    
  0.63165140     -0.29084554       31.724628    
  0.62322545     -0.27730054       31.806906    
  0.61479926     -0.26385739       31.887604    
  0.60637331     -0.25051397       31.966751    
  0.59794712     -0.23726857       32.044376    
  0.58952093     -0.22411774       32.120514    
  0.58109498     -0.21106116       32.195183    
  0.57266879     -0.19809473       32.268421    
  0.56424260     -0.18521723       32.340252    
  0.55581665     -0.17242697       32.410702    
  0.54739046     -0.15972190       32.479797    
  0.53896427     -0.14710011       32.547565    
  0.53053832     -0.13455917       32.614033    
  0.52211213     -0.12209780       32.679222    
  0.51368594     -0.10971519       32.743156    
  0.50525999     -9.74074975E-02   32.805866    
  0.49683380     -8.51745903E-02   32.867371    
  0.48840761     -7.30151534E-02   32.927689    
  0.47998166     -6.09265678E-02   32.986851    
  0.47155547     -4.89077456E-02   33.044876    
  0.46312952     -3.69569696E-02   33.101788    
  0.45470333     -2.50733607E-02   33.157604    
  0.44627714     -1.32549135E-02   33.212349    
  0.43785119     -1.50084426E-03   33.266041    
  0.42942500      1.01909088E-02   33.318703    
  0.42099881      2.18209308E-02   33.370350    
  0.41257286      3.33907902E-02   33.421005    
  0.40414667      4.49024960E-02   33.470692    
  0.39572048      5.63564003E-02   33.519421    
  0.38729453      6.77534044E-02   33.567211    
  0.37886834      7.90953189E-02   33.614086    
  0.37044215      9.03824642E-02   33.660057    
  0.36201620      0.10161699       33.705147    
  0.35359001      0.11279962       33.749371    
  0.34516382      0.12393183       33.792747    
  0.33673787      0.13501321       33.835285    
  0.32831168      0.14604677       33.877010    
  0.31988549      0.15703169       33.917931    
  0.31145954      0.16796929       33.958065    
  0.30303335      0.17886132       33.997429    
  0.29460740      0.18970683       34.036034    
  0.28618121      0.20051035       34.073902    
  0.27775502      0.21126887       34.111038    
  0.26932907      0.22198647       34.147465    
  0.26090288      0.23266143       34.183189    
  0.25247669      0.24329643       34.218227    
  0.24405074      0.25388938       34.252590    
  0.23562455      0.26444510       34.286297    
  0.22719836      0.27496070       34.319351    
  0.21877241      0.28543884       34.351772    
  0.21034622      0.29588091       34.383572    
