#       RADIUS         OMEGA_H            NU_H         SIGMA_D          VC_TOT            VC_B            NU_B      PSIMAJ_TOT           PSI''
#
   1.1000000      0.73049104      0.80560774      0.22364688       2.1556797       0.0000000       0.0000000      -25.554861      -4.0183463    
   1.1100000      0.72623938      0.80123597      0.22285438       2.1553004       0.0000000       0.0000000      -25.513014      -3.9545524    
   1.1200000      0.72203928      0.79691666      0.22206467       2.1547375       0.0000000       0.0000000      -25.471165      -3.8907585    
   1.1300000      0.71791393      0.79267055      0.22127779       2.1543145       0.0000000       0.0000000      -25.430096      -3.8311572    
   1.1400000      0.71383762      0.78847450      0.22049367       2.1537139       0.0000000       0.0000000      -25.389025      -3.7715561    
   1.1500000      0.70983303      0.78434885      0.21971235       2.1532457       0.0000000       0.0000000      -25.348709      -3.7144349    
   1.1600000      0.70587528      0.77990746      0.21893378       2.1526048       0.0000000       0.0000000      -25.308401      -3.6573136    
   1.1700000      0.70198536      0.77590054      0.21815798       2.1521010       0.0000000       0.0000000      -25.268812      -3.5999939    
   1.1799999      0.69814032      0.77122921      0.21738495       2.1514301       0.0000000       0.0000000      -25.229225      -3.5426743    
   1.1899999      0.69436085      0.76804245      0.21661462       2.1509049       0.0000000       0.0000000      -25.190348      -3.4872007    
   1.1999999      0.69062418      0.76418924      0.21584705       2.1502175       0.0000000       0.0000000      -25.151474      -3.4317272    
   1.2099999      0.68694991      0.76039732      0.21508218       2.1496713       0.0000000       0.0000000      -25.113287      -3.3791575    
   1.2200000      0.68331653      0.75664729      0.21432002       2.1489680       0.0000000       0.0000000      -25.075098      -3.3265882    
   1.2300000      0.67974299      0.75295597      0.21356057       2.1483998       0.0000000       0.0000000      -25.037579      -3.2769785    
   1.2400000      0.67620867      0.74930483      0.21280381       2.1476786       0.0000000       0.0000000      -25.000051      -3.2273691    
   1.2500000      0.67273206      0.74571043      0.21204972       2.1470854       0.0000000       0.0000000      -24.963175      -3.1806881    
   1.2600000      0.66929293      0.74215442      0.21129832       2.1463439       0.0000000       0.0000000      -24.926296      -3.1340075    
   1.2700000      0.66590875      0.73865253      0.21054958       2.1457264       0.0000000       0.0000000      -24.890045      -3.0886581    
